,Artist,Track,Genre,Spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Album_Name,Genres,Cluster
356,Gabby Barrett,The Good Ones,,3hLuHKzG1cmlRpq53ZVWd8,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,audio_features,3hLuHKzG1cmlRpq53ZVWd8,spotify:track:3hLuHKzG1cmlRpq53ZVWd8,https://api.spotify.com/v1/tracks/3hLuHKzG1cmlRpq53ZVWd8,https://api.spotify.com/v1/audio-analysis/3hLuHKzG1cmlRpq53ZVWd8,215141,4,Gabby Barrett - C2C Limited Edition EP,Country,2
357,GAYLE,abcdefu,,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4,Gayle (8) - Abcdefu,Pop,2
358,George Ezra,Budapest,,2ixsaeFioXJmMgkkbd4uj1,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,audio_features,2ixsaeFioXJmMgkkbd4uj1,spotify:track:2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/tracks/2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733,4,George Ezra - Budapest,Jazz,2
359,George Harrison,For You Blue,,2fEWzmjrk9LkQZ9VJrOmrk,0.609,0.117,2,-17.165,1,0.0388,0.801,0.000277,0.156,0.44,120.832,audio_features,2fEWzmjrk9LkQZ9VJrOmrk,spotify:track:2fEWzmjrk9LkQZ9VJrOmrk,https://api.spotify.com/v1/tracks/2fEWzmjrk9LkQZ9VJrOmrk,https://api.spotify.com/v1/audio-analysis/2fEWzmjrk9LkQZ9VJrOmrk,164280,4,George Harrison - Songs By George Harrison,Jazz,1
360,George Harrison,Give Me Love-(Give Me Peace On Earth),,1ZiN3wseympSLDIFkaWHHC,0.365,0.57,5,-11.674,1,0.0466,0.499,0.0128,0.13,0.639,81.149,audio_features,1ZiN3wseympSLDIFkaWHHC,spotify:track:1ZiN3wseympSLDIFkaWHHC,https://api.spotify.com/v1/tracks/1ZiN3wseympSLDIFkaWHHC,https://api.spotify.com/v1/audio-analysis/1ZiN3wseympSLDIFkaWHHC,215701,4,George Harrison - Give Me Love (Give Me Peace On Earth),Jazz,1
361,George Harrison,If I Needed Someone,,6M6tLTtZf2JYmUcFJGwJ2G,0.507,0.756,11,-10.879,0,0.0309,0.00818,0.000214,0.943,0.752,123.737,audio_features,6M6tLTtZf2JYmUcFJGwJ2G,spotify:track:6M6tLTtZf2JYmUcFJGwJ2G,https://api.spotify.com/v1/tracks/6M6tLTtZf2JYmUcFJGwJ2G,https://api.spotify.com/v1/audio-analysis/6M6tLTtZf2JYmUcFJGwJ2G,230400,4,George Harrison - The Best Of George Harrison,Jazz,3
362,George Harrison,Taxman,,2Vw9w8fioMfKiOTJWjnzUb,0.534,0.773,7,-11.223,1,0.041,0.1,4.57e-06,0.971,0.812,138.373,audio_features,2Vw9w8fioMfKiOTJWjnzUb,spotify:track:2Vw9w8fioMfKiOTJWjnzUb,https://api.spotify.com/v1/tracks/2Vw9w8fioMfKiOTJWjnzUb,https://api.spotify.com/v1/audio-analysis/2Vw9w8fioMfKiOTJWjnzUb,255745,4,George Harrison - Live In Japan Sampler,Jazz,2
363,Giveon,Heartbreak Anniversary,,3FAJ6O0NOHQV8Mc5Ri6ENp,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,audio_features,3FAJ6O0NOHQV8Mc5Ri6ENp,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/audio-analysis/3FAJ6O0NOHQV8Mc5Ri6ENp,198371,3,Giveon - Heartbreak Anniversary,Pop,1
364,Glass Animals,Heat Waves,,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4,Glass Animals - Heat Waves (Koa Remix),Rock,2
365,Gloria Estefan,Arbolito De Navidad,,4GUkYV8IMQiEsliScEZ0jf,0.601,0.439,9,-10.015,0,0.0698,0.476,0.0,0.335,0.458,93.016,audio_features,4GUkYV8IMQiEsliScEZ0jf,spotify:track:4GUkYV8IMQiEsliScEZ0jf,https://api.spotify.com/v1/tracks/4GUkYV8IMQiEsliScEZ0jf,https://api.spotify.com/v1/audio-analysis/4GUkYV8IMQiEsliScEZ0jf,234133,3,Gloria Estefan - Esta Navidad Está De Estreno...,Pop,3
366,Gloria Estefan,Go Away,,77EJcZ1zdiGQKB12ajwJj0,0.739,0.843,2,-7.779,1,0.0457,0.00356,0.000234,0.058,0.805,125.993,audio_features,77EJcZ1zdiGQKB12ajwJj0,spotify:track:77EJcZ1zdiGQKB12ajwJj0,https://api.spotify.com/v1/tracks/77EJcZ1zdiGQKB12ajwJj0,https://api.spotify.com/v1/audio-analysis/77EJcZ1zdiGQKB12ajwJj0,256733,4,Gloria Estefan - Go Away,Pop,2
367,Gloria Estefan,Silent Night,,2cwHhElF4CbJx85ylXpFJc,0.228,0.181,2,-14.682,1,0.038,0.968,0.25,0.133,0.0978,110.559,audio_features,2cwHhElF4CbJx85ylXpFJc,spotify:track:2cwHhElF4CbJx85ylXpFJc,https://api.spotify.com/v1/tracks/2cwHhElF4CbJx85ylXpFJc,https://api.spotify.com/v1/audio-analysis/2cwHhElF4CbJx85ylXpFJc,276427,5,Gloria Estefan - Esta Navidad Está De Estreno...,Pop,1
368,Gloria Estefan,White Christmas,,0RaodBe18OajpaHHgjbTTw,0.512,0.245,8,-14.39,1,0.0275,0.846,0.000771,0.0871,0.0874,95.975,audio_features,0RaodBe18OajpaHHgjbTTw,spotify:track:0RaodBe18OajpaHHgjbTTw,https://api.spotify.com/v1/tracks/0RaodBe18OajpaHHgjbTTw,https://api.spotify.com/v1/audio-analysis/0RaodBe18OajpaHHgjbTTw,252400,4,Gloria Estefan - Christmas Through Your Eyes,Pop,1
369,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,,3Rm787pfQBmS4PTwhI7EUR,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,audio_features,3Rm787pfQBmS4PTwhI7EUR,spotify:track:3Rm787pfQBmS4PTwhI7EUR,https://api.spotify.com/v1/tracks/3Rm787pfQBmS4PTwhI7EUR,https://api.spotify.com/v1/audio-analysis/3Rm787pfQBmS4PTwhI7EUR,203161,4,,Hip Hop,3
370,Gunna,Fukumean,,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4,Gunna - Fukumean,Hip Hop,3
371,Guns N' Roses,Knockin On Heavens Door,,4JiEyzf0Md7KEFFGWDDdCr,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,audio_features,4JiEyzf0Md7KEFFGWDDdCr,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/tracks/4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/audio-analysis/4JiEyzf0Md7KEFFGWDDdCr,336000,4,Guns N' Roses - Knockin' On Heaven's Door,Rock,2
372,Guns N' Roses,Sweet Child O Mine,,7snQQk1zcKl8gZ92AnueZW,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,audio_features,7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067,4,Guns N' Roses - Sweet Child O' Mine (New Remix),Rock,2
373,Guns N' Roses,Welcome To The Jungle,,0G21yYKMZoHa30cYVi1iA8,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4,Guns N' Roses - Welcome To The Jungle,Rock,2
374,Halsey,Bad At Love,,7y9iMe8SOB6z3NoHE2OfXl,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,audio_features,7y9iMe8SOB6z3NoHE2OfXl,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,https://api.spotify.com/v1/tracks/7y9iMe8SOB6z3NoHE2OfXl,https://api.spotify.com/v1/audio-analysis/7y9iMe8SOB6z3NoHE2OfXl,181279,4,Halsey - Bad At Love (Remixes),Pop,2
375,Halsey,Now Or Never,,7i2DJ88J7jQ8K7zqFX2fW8,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,audio_features,7i2DJ88J7jQ8K7zqFX2fW8,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,https://api.spotify.com/v1/audio-analysis/7i2DJ88J7jQ8K7zqFX2fW8,214802,4,Halsey - Now Or Never,Pop,3
376,Halsey,Without Me,,6FZDfxM3a3UCqtzo5pxSLZ,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,6FZDfxM3a3UCqtzo5pxSLZ,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,https://api.spotify.com/v1/tracks/6FZDfxM3a3UCqtzo5pxSLZ,https://api.spotify.com/v1/audio-analysis/6FZDfxM3a3UCqtzo5pxSLZ,201661,4,Halsey - Without Me,Pop,2
377,Halsey,You Should Be Sad,,7lidXGPXPYLNThITAOTlkK,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,audio_features,7lidXGPXPYLNThITAOTlkK,spotify:track:7lidXGPXPYLNThITAOTlkK,https://api.spotify.com/v1/tracks/7lidXGPXPYLNThITAOTlkK,https://api.spotify.com/v1/audio-analysis/7lidXGPXPYLNThITAOTlkK,205473,4,Halsey - YSBS* Remixes,Pop,2
378,Harry Styles,Adore You,,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,audio_features,3jjujdWJ72nww5eGnfs2E7,spotify:track:3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/tracks/3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/audio-analysis/3jjujdWJ72nww5eGnfs2E7,207133,4,Harry Styles - Adore You,Pop,2
379,Harry Styles,As It Was,,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4,Harry Styles - As It Was,Pop,3
380,Harry Styles,Late Night Talking,,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4,Harry Styles - Late Night Talking ,Pop,2
